t,retail_sales_MoM_change
1990-10-01,-0.013000000000000012
1990-11-01,0.005065856129685908
1990-12-01,0.003024193548387011
1991-01-01,0.028140703517588017
1991-02-01,-0.0029325513196480912
1991-03-01,0.020588235294117574
1991-04-01,-0.036503362151777075
1991-05-01,-0.0009970089730807485
1991-06-01,0.04291417165668654
1991-07-01,-0.028708133971291905
1991-08-01,-0.014778325123152691
1991-09-01,0.0009999999999998899
1991-10-01,0.024975024975024906
1991-11-01,-0.02631578947368407
1991-12-01,-0.010010010010010006
1992-01-01,0.02426693629929222
1992-02-01,-0.008884501480750151
1992-03-01,-0.028884462151394508
1992-04-01,0.02358974358974364
1992-05-01,0.008016032064128265
1992-06-01,-0.015904572564612307
1992-07-01,0.005050505050504972
1992-08-01,-0.0060301507537687815
1992-09-01,0.01415571284125372
1992-10-01,0.0029910269192421346
1992-11-01,0.001988071570576677
1992-12-01,0.021825396825396748
1993-01-01,-0.04660194174757282
1993-02-01,-0.01323828920570258
1993-03-01,0.008255933952528327
1993-04-01,0.019447287615148356
1993-05-01,-0.032128514056224744
1993-06-01,0.020746887966804906
1993-07-01,-0.004065040650406582
1993-08-01,0.009183673469387754
1993-09-01,-0.006066734074823166
1993-10-01,-0.0020345879959308144
1993-11-01,0.011213047910295648
1993-12-01,-0.003024193548387122
1994-01-01,-0.014155712841253831
1994-02-01,0.013333333333333197
1994-03-01,0.020242914979757165
1994-04-01,-0.06845238095238082
1994-05-01,0.061767838125665664
1994-06-01,-0.01805416248746239
1994-07-01,-0.009193054136874435
1994-08-01,0.007216494845360799
1994-09-01,-0.0051177072671443335
1994-10-01,-0.011316872427983626
1994-11-01,-0.014568158168574263
1994-12-01,0.012671594508975703
1995-01-01,0.0
1995-02-01,0.035453597497393075
1995-03-01,0.0
1995-04-01,-0.01611278952668671
1995-05-01,0.0184237461617196
1995-06-01,-0.0020100502512563345
1995-07-01,-0.011077542799597162
1995-08-01,0.003054989816700493
1995-09-01,-0.006091370558375608
1995-10-01,-0.0040858018386108474
1995-11-01,0.008205128205128087
1995-12-01,0.003051881993896277
1996-01-01,-0.013184584178498993
1996-02-01,-0.0020554984583761593
1996-03-01,-0.003089598352214229
1996-04-01,0.019628099173553792
1996-05-01,-0.015197568389057725
1996-06-01,-0.0010288065843622185
1996-07-01,0.005149330587023604
1996-08-01,0.0
1996-09-01,0.004098360655737654
1996-10-01,-0.009183673469387865
1996-11-01,0.001029866117404854
1996-12-01,-0.006172839506172978
1997-01-01,0.0041407867494824835
1997-02-01,-0.012371134020618624
1997-03-01,0.0020876826722338038
1997-04-01,0.012499999999999956
1997-05-01,-0.015432098765432056
1997-06-01,0.016718913270637348
1997-07-01,-0.018499486125385323
1997-08-01,-0.023036649214659755
1997-09-01,0.019292604501607746
1997-10-01,0.02208201892744488
1997-11-01,-0.024691358024691468
1997-12-01,-0.00421940928270037
1998-01-01,0.01165254237288127
1998-02-01,0.006282722513089034
1998-03-01,0.02393340270551514
1998-04-01,-0.03150406504065051
1998-05-01,0.0041972717733473885
1998-06-01,-0.012539184952978122
1998-07-01,0.024338624338624326
1998-08-01,-0.012396694214876103
1998-09-01,0.0
1998-10-01,0.004184100418409997
1998-11-01,0.023958333333333304
1998-12-01,-0.019328585961342792
1999-01-01,0.0010373443983402453
1999-02-01,0.006217616580310725
1999-03-01,0.01029866117404743
1999-04-01,-0.03669724770642191
1999-05-01,0.0031746031746031633
1999-06-01,0.006329113924050667
1999-07-01,-0.003144654088050425
1999-08-01,0.013669821240799296
1999-09-01,-0.03526970954356856
1999-10-01,0.033333333333333215
1999-11-01,0.0020811654526535772
1999-12-01,0.0020768431983384517
2000-01-01,-0.0010362694300517505
2000-02-01,0.010373443983402453
2000-03-01,-0.009240246406570951
2000-04-01,0.00932642487046631
2000-05-01,0.0030800821355236874
2000-06-01,-0.013306038894575156
2000-07-01,0.0010373443983402453
2000-08-01,0.004145077720207224
2000-09-01,-0.011351909184726616
2000-10-01,0.007306889352818313
2000-11-01,0.0
2000-12-01,0.00932642487046631
2001-01-01,0.02361396303901442
2001-02-01,-0.026078234704112413
2001-03-01,0.009268795056642798
2001-04-01,-0.0071428571428571175
2001-05-01,0.0
2001-06-01,-0.005138746145940343
2001-07-01,0.0010330578512398603
2001-08-01,-0.0010319917440660964
2001-09-01,-0.00619834710743794
2001-10-01,-0.013513513513513487
2001-11-01,0.030558482613276983
2001-12-01,-0.017382413087934645
2002-01-01,-0.018730489073881307
2002-02-01,-0.0021208907741251393
2002-03-01,0.0010626992561106885
2002-04-01,0.011677282377919207
